iter	Passed	Remaining
0	0	35
1	1	49
2	1	41
3	1	36
4	1	34
5	2	32
6	4	58
7	4	54
8	4	50
9	6	54
10	6	51
11	6	49
12	7	47
13	7	45
14	10	61
15	11	58
16	11	55
17	13	62
18	13	59
19	16	66
20	16	63
21	17	60
22	18	62
23	18	60
24	19	57
25	19	55
26	19	53
27	26	68
28	26	65
29	27	63
30	27	61
31	27	58
32	27	56
33	29	56
34	29	54
35	30	54
36	31	53
37	31	51
38	31	49
39	32	49
40	33	47
41	33	46
42	33	44
43	35	45
44	38	46
45	38	45
46	38	43
47	38	42
48	39	40
49	39	39
50	44	42
51	44	40
52	44	39
53	44	38
54	45	36
55	45	35
56	47	35
57	47	34
58	50	35
59	50	33
60	51	32
61	53	32
62	53	31
63	55	31
64	56	30
65	56	29
66	56	27
67	56	26
68	59	26
69	59	25
70	61	24
71	61	23
72	61	22
73	62	22
74	63	21
75	63	20
76	64	19
77	64	18
78	64	17
79	65	16
80	65	15
81	66	14
82	66	13
83	67	12
84	68	12
85	68	11
86	68	10
87	68	9
88	69	8
89	71	7
90	71	7
91	72	6
92	72	5
93	72	4
94	72	3
95	74	3
96	74	2
97	74	1
98	74	0
99	76	0
